trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.4, 'e': 0.0017724197720270806}",25,15,19.499526808025493,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.4, 'e': 0.0016837987834257264}",25,13,20.475989062265135,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.4, 'e': 0.00159960884425444}",30,16,27.877398780514397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.001519628402041718}",25,0,39.97968482085777,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.4, 'e': 0.0014436469819396319}",20,0,34.04952351358804,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.4, 'e': 0.0013714646328426502}",35,23,24.72877478616552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.4, 'e': 0.0013028914012005177}",20,9,19.057391673415893,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.0012377468311404918}",30,9,40.50034111798671,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.4, 'e': 0.001175859489583467}",20,10,15.488628458916844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.4, 'e': 0.0011170665151042937}",20,2,31.257559245755843,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.4, 'e': 0.001061213189349079}",25,15,19.8958299106285,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.0010081525298816251}",25,17,12.79235148756028,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.4, 'e': 0.0009577449033875439}",20,9,20.954026460486336,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0.0}",30,15,26.75772339199213,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0.0}",20,12,15.39285691206607,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0.0}",20,8,22.768057500957635,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0.0}",20,10,18.67932006039681,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0.0}",30,17,24.48513069885144,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0.0}",25,17,18.51236063662615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
